                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 0.6352,                 0.5532,                0.88868,                0.88349,                0.87128,                0.91459,                0.79762,                 0.5546,                0.50155,                0.85239,               0.005446,               0.005446,               0.005446
                    141,                0.63464,                0.55461,                0.88799,                0.87922,                0.87906,                0.91571,                0.80712,                0.55601,                0.49928,                0.85424,               0.005413,               0.005413,               0.005413
                    142,                0.63362,                0.54975,                0.88899,                0.88142,                0.87101,                0.91427,                0.80115,                0.55351,                0.49283,                0.85131,                0.00538,                0.00538,                0.00538
                    143,                0.63379,                0.54798,                0.88796,                0.86497,                0.88949,                0.91531,                 0.8031,                0.55175,                0.49938,                0.85255,               0.005347,               0.005347,               0.005347
                    144,                0.63175,                0.54387,                0.88676,                0.89229,                0.87313,                0.91876,                0.80446,                0.55085,                0.49568,                0.85159,               0.005314,               0.005314,               0.005314
                    145,                0.63018,                0.54315,                0.88606,                0.89232,                0.87515,                0.91889,                  0.802,                0.55105,                0.48827,                0.85205,               0.005281,               0.005281,               0.005281
                    146,                0.62775,                0.54404,                 0.8871,                0.87974,                0.87621,                0.91841,                0.80349,                 0.5525,                0.49474,                0.85014,               0.005248,               0.005248,               0.005248
                    147,                0.62678,                 0.5403,                0.88709,                0.88868,                0.87333,                 0.9161,                0.80603,                 0.5479,                0.49012,                0.84996,               0.005215,               0.005215,               0.005215
                    148,                0.63099,                0.53992,                 0.8848,                0.87158,                 0.8813,                0.91877,                0.80953,                0.55072,                0.49396,                0.85057,               0.005182,               0.005182,               0.005182
                    149,                0.62506,                0.53586,                0.88401,                0.89977,                0.86444,                0.92085,                0.80921,                0.55038,                0.48543,                0.85131,               0.005149,               0.005149,               0.005149
                    150,                0.62996,                 0.5393,                0.88702,                0.88714,                 0.8715,                0.91392,                0.80522,                0.54763,                 0.4924,                0.85093,               0.005116,               0.005116,               0.005116
                    151,                0.62144,                0.53789,                0.88483,                0.89034,                0.87284,                0.92138,                0.81107,                 0.5509,                0.48272,                 0.8514,               0.005083,               0.005083,               0.005083
                    152,                 0.6264,                0.53719,                0.88485,                0.86238,                0.89015,                 0.9201,                0.80915,                 0.5493,                 0.4863,                0.85089,                0.00505,                0.00505,                0.00505
                    153,                0.62628,                0.53637,                0.88507,                0.87694,                0.88285,                0.92003,                0.81114,                0.55491,                0.48858,                0.85126,               0.005017,               0.005017,               0.005017
                    154,                0.62155,                0.53315,                0.88473,                 0.8808,                0.87517,                0.91766,                0.80751,                0.54727,                0.49119,                0.84931,               0.004984,               0.004984,               0.004984
                    155,                0.62155,                0.53104,                0.88653,                0.87778,                0.87954,                0.92121,                 0.8114,                0.55167,                0.48908,                0.85187,               0.004951,               0.004951,               0.004951
                    156,                0.62312,                0.53137,                0.88264,                0.88477,                0.87746,                0.92109,                0.81519,                0.54841,                0.48523,                0.85001,               0.004918,               0.004918,               0.004918
